奥沢
滝野川
有明
花小金井第1
本部機動第5
用賀
三軒家
枝川
花小金井第2
本部機動第2
玉川新町
田端
豊洲
東村山
本部機動第1
成城
森下
秋津
本部機動第3
成城ﾃﾞｲﾀｲﾑ
板橋
城東第1
本町
本部機動第4
千歳第1
板橋ﾃﾞｲﾀｲﾑ
城東第2
国分寺第1
本部機動第6
千歳第2
常盤台
東砂
国分寺第2
烏山
小茂根
大島
戸倉
丸の内
渋谷第1
志村
砂町
狛江
永田町
渋谷第2
蓮根
本田第1
猪方
神田
恵比寿
赤塚
本田第2
北多摩西部
三崎町
松濤
志村坂上
南綾瀬
武蔵村山
京橋
代々木
高島平第1
青戸
東大和
銀座
富ｹ谷
高島平第2
奥戸
清瀬
日本橋
原宿
練馬
金町
竹丘
浜町
平和台
金町ﾃﾞｲﾀｲﾑ
東久留米
月島
四谷
貫井
亀有
新川
芝
新宿御苑第1
光が丘
柴又
西東京
三田
新宿御苑第2
光が丘ﾃﾞｲﾀｲﾑ
水元
田無
麻布
牛込
北町
江戸川第1
西原
赤坂
新宿第1
石神井
江戸川第2
保谷
高輪
新宿第2
石神井ﾃﾞｲﾀｲﾑ
小松川
港南
落合
関町
瑞江
9本部機動
戸塚
大泉
葛西第1
八王子第1
2本部特殊
大久保
大泉学園
葛西第2
八王子ﾃﾞｲﾀｲﾑ
2本部機動
西新宿第1
石神井公園
船堀
八王子第2
品川
西新宿第2
南葛西
楢原
東品川
中野
6本部機動
小岩
元八王子
大崎
宮園
上野
篠崎
小宮
五反田
東中野
下谷
南小岩
浅川
大井
野方第1
谷中
北小岩
浅川特殊救急(小型)
滝王子
野方第2
浅草
北野
八潮
鷺宮
浅草橋
8本部機動
由木
荏原
杉並
日本堤
立川
みなみ野
荏原ﾃﾞｲﾀｲﾑ
永福
今戸
錦町第1
青梅
旗の台
堀ﾉ内
荒川
錦町第2
日向和田
大森
阿佐ヶ谷
南千住
国立
長淵
馬込
高円寺
尾久
砂川
町田第1
市野倉
高井戸
尾竹橋
武蔵野
町田ﾃﾞｲﾀｲﾑ
山谷
荻窪
千住第1
武蔵境
町田第2
森ｹ崎
荻窪ﾃﾞｲﾀｲﾑ
千住第2
吉祥寺
忠生
田園調布
西荻
足立第1
三鷹
南
久が原
久我山
足立第2
下連雀
鶴川
蒲田
下井草
綾瀬
大沢
西町田
羽田
淵江
牟礼
成瀬
空港
小石川
大谷田
府中
日野
矢口
大塚
神明
分梅
豊田
下丸子
本郷
西新井
朝日
高幡
西蒲田
根津
西新井ﾃﾞｲﾀｲﾑ
朝日特殊
福生
西六郷
豊島
大師前
是政
羽村
巣鴨
上沼田
栄町
瑞穂
目黒第1
目白
本木
昭島
熊川
目黒第2
池袋
舎人
昭和
多摩
碑文谷
池袋ﾃﾞｲﾀｲﾑ
大神
多摩ｾﾝﾀｰ第1
大岡山
長崎
本所
調布第1
多摩ｾﾝﾀｰ第2
世田谷
高松
緑
調布第2
秋川
宮の坂
王子
東駒形
つつじｹ丘
秋留台
松原第1
十条
向島
国領
檜原
松原第2
赤羽
向島ﾃﾞｲﾀｲﾑ
小金井
奥多摩
三宿
志茂
墨田
緑町
上北沢
西が丘
立花
小平
玉川
赤羽台
深川
小川
